Farm ID,Location,Farm Size (Acres),Crop Type,Water Availability (mm),Soil Moisture (%),Precipitation Forecast (mm),Irrigation Need (mm),Risk Level,Decision Recommendation
414,"34.0522, -118.2437",153,Soy,,48.0,48,26,High,Irrigate as needed
415,"34.0522, -118.2437",416,Soy,264.0,39.0,43,34,Low,Increase irrigation
416,"29.7604, -95.3698",408,Soy,156.0,37.0,13,39,High,Monitor soil moisture
417,"34.0522, -118.2437",266,Soy,209.0,52.0,11,27,High,Irrigate lightly
418,"29.7604, -95.3698",295,Barley,141.0,32.0,28,32,High,Irrigate lightly
419,"40.7128, -74.0060",506,Corn,100.0,39.0,44,30,Low,Increase water monitoring
420,"29.7604, -95.3698",376,Barley,183.0,42.0,28,38,Low,Increase water monitoring
421,"34.0522, -118.2437",313,Soy,119.0,56.0,21,9999,Low,Monitor soil moisture
422,"34.0522, -118.2437",105,Wheat,289.0,34.0,23,16,Low,Irrigate lightly
423,"41.8781, -87.6298",394,Corn,267.0,35.0,33,9999,Medium,Irrigate as needed
424,"40.7128, -74.0060",352,Rice,144.0,56.0,46,13,Medium,Monitor soil moisture
425,"36.7783, -119.4179",548,Corn,268.0,37.0,43,24,High,Irrigate lightly
426,"40.7128, -74.0060",331,Wheat,170.0,46.0,28,39,High,Increase water monitoring
427,"36.7783, -119.4179",586,Soy,200.0,31.0,27,17,Low,Irrigate as needed
428,"34.0522, -118.2437",483,Wheat,227.0,43.0,36,16,Medium,Increase irrigation
429,"29.7604, -95.3698",186,Barley,126.0,30.0,12,24,Medium,Increase irrigation
430,"41.8781, -87.6298",335,Corn,210.0,53.0,21,31,Medium,Increase water monitoring
431,"36.7783, -119.4179",174,Corn,114.0,55.0,16,10,High,Monitor soil moisture
432,"36.7783, -119.4179",184,Barley,288.0,47.0,37,38,Low,Increase irrigation
433,"36.7783, -119.4179",541,Wheat,134.0,48.0,15,17,High,Monitor soil moisture
434,"36.7783, -119.4179",527,Wheat,261.0,32.0,18,36,Medium,Irrigate lightly
435,"29.7604, -95.3698",541,Wheat,236.0,36.0,19,38,Low,Irrigate lightly
436,"36.7783, -119.4179",132,Soy,283.0,46.0,36,34,Low,Monitor soil moisture
437,"41.8781, -87.6298",207,Corn,203.0,40.0,21,22,High,Increase water monitoring
438,"36.7783, -119.4179",125,Rice,179.0,39.0,N/A,13,Medium,Increase irrigation
439,"34.0522, -118.2437",519,Rice,240.0,34.0,16,26,High,Increase water monitoring
440,"40.7128, -74.0060",184,Rice,292.0,33.0,48,28,Low,Increase irrigation
441,"34.0522, -118.2437",424,Rice,154.0,50.0,32,25,High,Increase irrigation
442,"34.0522, -118.2437",407,Rice,161.0,43.0,46,34,Medium,Irrigate lightly
443,"41.8781, -87.6298",373,Wheat,102.0,58.0,29,12,Low,Increase irrigation
444,"34.0522, -118.2437",116,Rice,139.0,42.0,37,14,Low,Increase irrigation
445,"40.7128, -74.0060",578,Barley,170.0,34.0,39,39,Medium,Monitor soil moisture
446,"36.7783, -119.4179",151,Corn,269.0,34.0,18,32,Low,Increase irrigation
447,"40.7128, -74.0060",345,Wheat,289.0,54.0,15,39,Medium,Irrigate lightly
448,"40.7128, -74.0060",327,Barley,197.0,40.0,26,29,Medium,Monitor soil moisture
449,"41.8781, -87.6298",219,Corn,282.0,45.0,46,10,Low,Irrigate as needed
450,"40.7128, -74.0060",542,Rice,144.0,53.0,23,38,High,Irrigate as needed
451,"40.7128, -74.0060",492,Wheat,251.0,32.0,20,22,Medium,Monitor soil moisture
452,"34.0522, -118.2437",350,Barley,273.0,35.0,25,35,Medium,Increase irrigation
453,"34.0522, -118.2437",438,Barley,162.0,57.0,26,28,Low,Increase water monitoring
454,"29.7604, -95.3698",215,Soy,279.0,56.0,45,37,Low,Irrigate lightly
455,"41.8781, -87.6298",588,Wheat,166.0,43.0,36,34,Low,Increase irrigation
456,"29.7604, -95.3698",587,Rice,138.0,57.0,24,17,Low,Increase irrigation
457,"36.7783, -119.4179",230,Wheat,148.0,47.0,44,35,Medium,Irrigate lightly
458,"40.7128, -74.0060",599,Rice,152.0,44.0,11,39,Low,Irrigate as needed
459,"36.7783, -119.4179",Unknown,Corn,250.0,36.0,42,26,Medium,Irrigate lightly
460,"36.7783, -119.4179",552,Barley,202.0,32.0,35,39,Medium,Increase water monitoring
461,"36.7783, -119.4179",337,Rice,134.0,53.0,37,27,High,Irrigate lightly
462,"36.7783, -119.4179",132,Soy,192.0,50.0,N/A,25,Medium,Monitor soil moisture
463,"41.8781, -87.6298",284,Soy,177.0,49.0,15,20,Medium,Increase water monitoring
464,"40.7128, -74.0060",538,Wheat,292.0,40.0,33,39,High,Irrigate lightly
465,"40.7128, -74.0060",574,Wheat,281.0,42.0,29,36,Low,Irrigate as needed
466,"29.7604, -95.3698",426,Soy,153.0,45.0,27,15,High,Increase water monitoring
467,"29.7604, -95.3698",235,Rice,217.0,40.0,40,19,High,Increase water monitoring
468,"41.8781, -87.6298",115,Wheat,227.0,44.0,31,13,High,Increase irrigation
469,"40.7128, -74.0060",508,Wheat,136.0,42.0,12,30,Low,Increase irrigation
470,"40.7128, -74.0060",363,Barley,265.0,48.0,49,32,Low,Increase water monitoring
471,"34.0522, -118.2437",459,Barley,290.0,58.0,41,19,Medium,Irrigate lightly
472,"40.7128, -74.0060",106,Rice,155.0,50.0,33,34,High,Monitor soil moisture
473,"36.7783, -119.4179",171,Corn,195.0,32.0,39,15,Medium,Monitor soil moisture
474,"41.8781, -87.6298",153,Corn,280.0,36.0,48,32,High,Irrigate as needed
475,"41.8781, -87.6298",326,Wheat,213.0,32.0,28,30,Low,Irrigate lightly
476,"29.7604, -95.3698",476,Soy,251.0,55.0,18,16,Low,Irrigate lightly
477,"34.0522, -118.2437",105,Barley,,53.0,24,32,High,Increase water monitoring
478,"41.8781, -87.6298",586,Barley,131.0,53.0,45,35,Low,Irrigate as needed
479,"29.7604, -95.3698",247,Barley,292.0,56.0,37,23,High,Irrigate as needed
480,"40.7128, -74.0060",366,Soy,200.0,59.0,37,33,Medium,Irrigate lightly
481,"41.8781, -87.6298",448,Soy,193.0,58.0,22,34,Medium,Irrigate as needed
482,"41.8781, -87.6298",185,Soy,291.0,58.0,37,27,High,Monitor soil moisture
483,"41.8781, -87.6298",226,Corn,150.0,,14,18,Low,Irrigate lightly
484,"34.0522, -118.2437",140,Corn,180.0,55.0,28,35,High,Irrigate lightly
485,"36.7783, -119.4179",114,Barley,245.0,52.0,43,35,Medium,Monitor soil moisture
486,"34.0522, -118.2437",510,Barley,191.0,38.0,20,14,Medium,Increase irrigation
487,"41.8781, -87.6298",102,Barley,237.0,54.0,37,20,High,Irrigate lightly
488,"41.8781, -87.6298",551,Soy,288.0,41.0,23,13,Medium,Irrigate as needed
489,"29.7604, -95.3698",396,Barley,147.0,56.0,41,13,High,Irrigate lightly
490,"41.8781, -87.6298",287,Barley,243.0,45.0,38,24,Low,Monitor soil moisture
491,"41.8781, -87.6298",204,Soy,268.0,37.0,21,37,Medium,Increase water monitoring
492,"29.7604, -95.3698",545,Wheat,161.0,58.0,29,14,High,Irrigate as needed
493,"29.7604, -95.3698",384,Barley,200.0,34.0,27,36,Medium,Irrigate lightly
494,"29.7604, -95.3698",109,Wheat,149.0,45.0,31,34,Low,Increase water monitoring
495,"36.7783, -119.4179",366,Soy,278.0,39.0,38,35,Low,Increase irrigation
496,"29.7604, -95.3698",306,Wheat,153.0,52.0,12,20,High,Irrigate as needed
497,"40.7128, -74.0060",218,Soy,184.0,54.0,39,21,Medium,Monitor soil moisture
498,"36.7783, -119.4179",235,Barley,164.0,33.0,15,24,Medium,Increase water monitoring
499,"40.7128, -74.0060",337,Barley,286.0,32.0,32,35,High,Irrigate as needed
500,"34.0522, -118.2437",174,Corn,166.0,59.0,49,31,High,Irrigate as needed
501,"36.7783, -119.4179",123,Soy,128.0,48.0,34,33,High,Monitor soil moisture
502,"36.7783, -119.4179",580,Soy,175.0,44.0,24,35,Medium,Increase water monitoring
503,"36.7783, -119.4179",361,Soy,277.0,48.0,34,12,High,Monitor soil moisture
504,"34.0522, -118.2437",200,Corn,167.0,31.0,24,14,Low,Monitor soil moisture
505,"36.7783, -119.4179",192,Rice,196.0,51.0,23,15,Low,Increase irrigation
506,"36.7783, -119.4179",539,Corn,120.0,,32,37,Medium,Monitor soil moisture
507,"40.7128, -74.0060",134,Corn,141.0,49.0,45,34,Low,Irrigate lightly
508,"34.0522, -118.2437",391,Barley,240.0,53.0,N/A,31,Low,Increase irrigation
509,"29.7604, -95.3698",210,Wheat,256.0,,27,30,Medium,Increase irrigation
510,"41.8781, -87.6298",486,Soy,227.0,37.0,11,11,Medium,Increase water monitoring
511,"34.0522, -118.2437",324,Soy,226.0,39.0,38,27,High,Irrigate as needed
512,"34.0522, -118.2437",213,Soy,271.0,44.0,24,9999,Low,Increase irrigation
513,"34.0522, -118.2437",162,Wheat,179.0,35.0,23,34,Medium,Increase water monitoring
514,"29.7604, -95.3698",Unknown,Wheat,260.0,41.0,11,12,Low,Monitor soil moisture
515,"34.0522, -118.2437",329,Corn,117.0,49.0,15,38,Medium,Irrigate lightly
516,"34.0522, -118.2437",407,Corn,193.0,37.0,40,23,Low,Irrigate lightly
517,"40.7128, -74.0060",163,Corn,286.0,36.0,13,11,Medium,Increase irrigation
518,"34.0522, -118.2437",512,Corn,,31.0,23,17,Medium,Increase water monitoring
519,"36.7783, -119.4179",172,Wheat,153.0,52.0,21,39,Low,Irrigate as needed
520,"29.7604, -95.3698",183,Corn,284.0,46.0,27,18,High,Increase irrigation
521,"36.7783, -119.4179",140,Barley,160.0,51.0,48,21,High,Irrigate as needed
522,"36.7783, -119.4179",306,Corn,196.0,33.0,20,36,Medium,Increase irrigation
523,"29.7604, -95.3698",246,Corn,185.0,33.0,17,28,Low,Increase irrigation
524,"29.7604, -95.3698",101,Barley,176.0,55.0,46,15,Medium,Irrigate as needed
525,"36.7783, -119.4179",361,Rice,239.0,53.0,14,33,High,Increase water monitoring
526,"36.7783, -119.4179",439,Wheat,294.0,53.0,16,26,Low,Irrigate lightly
527,"29.7604, -95.3698",187,Corn,228.0,30.0,18,13,Medium,Irrigate as needed
528,"36.7783, -119.4179",483,Soy,198.0,55.0,20,14,High,Irrigate lightly
529,"34.0522, -118.2437",243,Corn,,32.0,42,34,Medium,Increase water monitoring
530,"36.7783, -119.4179",190,Barley,236.0,31.0,24,27,Low,Irrigate as needed
531,"34.0522, -118.2437",311,Barley,293.0,50.0,43,15,Low,Increase water monitoring
532,"34.0522, -118.2437",595,Rice,232.0,50.0,11,39,Medium,Increase water monitoring
533,"34.0522, -118.2437",119,Barley,195.0,30.0,10,34,High,Increase irrigation
534,"36.7783, -119.4179",583,Barley,,49.0,48,21,Medium,Irrigate as needed
535,"41.8781, -87.6298",Unknown,Rice,177.0,59.0,12,12,Low,Irrigate lightly
536,"41.8781, -87.6298",227,Wheat,179.0,,24,23,Medium,Monitor soil moisture
537,"41.8781, -87.6298",538,Corn,155.0,41.0,30,30,High,Increase irrigation
538,"36.7783, -119.4179",379,Wheat,182.0,33.0,35,29,High,Increase irrigation
539,"41.8781, -87.6298",227,Barley,182.0,31.0,18,14,Medium,Monitor soil moisture
540,"41.8781, -87.6298",148,Soy,270.0,49.0,12,20,Low,Irrigate as needed
541,"34.0522, -118.2437",534,Wheat,101.0,31.0,46,15,Medium,Increase irrigation
542,"36.7783, -119.4179",269,Soy,112.0,32.0,19,30,Low,Increase water monitoring
543,"29.7604, -95.3698",132,Soy,207.0,54.0,10,10,High,Increase water monitoring
544,"29.7604, -95.3698",521,Corn,176.0,49.0,19,32,Medium,Irrigate lightly
545,"40.7128, -74.0060",337,Corn,205.0,41.0,17,24,Medium,Monitor soil moisture
546,"40.7128, -74.0060",484,Corn,116.0,31.0,24,39,Low,Increase irrigation
547,"29.7604, -95.3698",216,Rice,257.0,53.0,29,32,Low,Monitor soil moisture
548,"41.8781, -87.6298",482,Wheat,286.0,37.0,23,21,Low,Irrigate as needed
549,"41.8781, -87.6298",157,Wheat,160.0,53.0,11,29,High,Irrigate as needed
550,"41.8781, -87.6298",398,Barley,141.0,39.0,29,20,Low,Irrigate as needed
551,"29.7604, -95.3698",468,Soy,199.0,57.0,39,13,Low,Increase water monitoring
552,"41.8781, -87.6298",506,Corn,145.0,36.0,42,10,High,Increase irrigation
553,"41.8781, -87.6298",440,Rice,,40.0,45,39,Low,Increase water monitoring
554,"36.7783, -119.4179",189,Barley,158.0,53.0,10,14,Low,Increase water monitoring
555,"36.7783, -119.4179",196,Barley,152.0,43.0,24,22,Low,Irrigate as needed
556,"29.7604, -95.3698",460,Rice,268.0,38.0,41,14,Low,Increase water monitoring
557,"29.7604, -95.3698",344,Barley,196.0,50.0,37,27,Medium,Increase water monitoring
558,"29.7604, -95.3698",578,Wheat,162.0,40.0,45,37,Medium,Irrigate lightly
559,"29.7604, -95.3698",460,Rice,150.0,57.0,14,22,High,Irrigate as needed
560,"36.7783, -119.4179",342,Wheat,190.0,55.0,27,21,High,Monitor soil moisture
561,"29.7604, -95.3698",311,Soy,155.0,58.0,32,18,Low,Monitor soil moisture
562,"41.8781, -87.6298",574,Corn,280.0,49.0,23,37,Low,Increase irrigation
563,"36.7783, -119.4179",457,Wheat,156.0,,16,11,Low,Irrigate as needed
564,"41.8781, -87.6298",535,Wheat,256.0,32.0,46,28,Low,Irrigate as needed
565,"36.7783, -119.4179",136,Corn,132.0,39.0,29,35,High,Irrigate lightly
566,"36.7783, -119.4179",350,Soy,133.0,55.0,40,25,Low,Irrigate as needed
567,"34.0522, -118.2437",494,Rice,,38.0,46,35,High,Irrigate as needed
568,"41.8781, -87.6298",594,Soy,183.0,51.0,42,28,Low,Increase water monitoring
569,"34.0522, -118.2437",395,Barley,289.0,54.0,25,28,Low,Increase irrigation
570,"29.7604, -95.3698",423,Rice,218.0,43.0,12,27,Low,Irrigate lightly
571,"34.0522, -118.2437",591,Wheat,231.0,53.0,15,35,Low,Irrigate lightly
572,"36.7783, -119.4179",283,Corn,138.0,58.0,37,30,Low,Increase water monitoring
573,"36.7783, -119.4179",181,Wheat,285.0,48.0,12,17,Medium,Irrigate lightly
574,"34.0522, -118.2437",298,Soy,137.0,55.0,25,30,Medium,Increase irrigation
575,"34.0522, -118.2437",277,Rice,175.0,59.0,45,20,Low,Irrigate lightly
576,"29.7604, -95.3698",278,Barley,190.0,45.0,30,37,High,Increase irrigation
577,"41.8781, -87.6298",476,Soy,,39.0,15,11,Medium,Monitor soil moisture
578,"34.0522, -118.2437",525,Corn,218.0,51.0,29,22,Medium,Monitor soil moisture
579,"40.7128, -74.0060",156,Corn,172.0,,30,28,Low,Increase water monitoring
580,"40.7128, -74.0060",100,Soy,299.0,52.0,29,13,High,Increase irrigation
581,"34.0522, -118.2437",125,Wheat,,32.0,28,20,Medium,Irrigate as needed
582,"29.7604, -95.3698",377,Soy,286.0,42.0,40,26,Medium,Irrigate lightly
583,"34.0522, -118.2437",403,Soy,223.0,34.0,11,28,Low,Irrigate lightly
584,"40.7128, -74.0060",458,Wheat,135.0,46.0,42,16,Low,Irrigate as needed
585,"40.7128, -74.0060",125,Wheat,209.0,56.0,23,27,Medium,Monitor soil moisture
586,"36.7783, -119.4179",170,Corn,155.0,48.0,48,26,High,Monitor soil moisture
587,"41.8781, -87.6298",168,Rice,193.0,49.0,29,34,High,Increase water monitoring
588,"29.7604, -95.3698",164,Corn,215.0,,22,11,Low,Irrigate lightly
589,"34.0522, -118.2437",295,Rice,256.0,45.0,16,39,Medium,Increase water monitoring
590,"36.7783, -119.4179",478,Soy,237.0,43.0,29,23,Medium,Increase irrigation
591,"36.7783, -119.4179",321,Soy,135.0,55.0,32,18,Medium,Irrigate lightly
592,"36.7783, -119.4179",122,Wheat,203.0,59.0,34,35,Medium,Irrigate as needed
593,"29.7604, -95.3698",351,Rice,124.0,34.0,19,10,Low,Monitor soil moisture
594,"40.7128, -74.0060",537,Soy,110.0,,12,34,High,Increase water monitoring
595,"36.7783, -119.4179",286,Wheat,197.0,50.0,47,36,Low,Increase irrigation
596,"29.7604, -95.3698",Unknown,Corn,110.0,46.0,16,19,Medium,Increase water monitoring
597,"36.7783, -119.4179",209,Rice,208.0,34.0,35,17,Medium,Increase water monitoring
598,"41.8781, -87.6298",202,Corn,146.0,31.0,10,31,High,Irrigate lightly
599,"29.7604, -95.3698",388,Corn,241.0,53.0,38,16,Low,Monitor soil moisture
600,"29.7604, -95.3698",344,Rice,105.0,36.0,42,19,Medium,Irrigate lightly
143,"36.7783, -119.4179",Unknown,Barley,288.0,48.0,13,13,Low,Increase water monitoring
581,"34.0522, -118.2437",125,Wheat,,32.0,28,20,Medium,Irrigate as needed
429,"29.7604, -95.3698",186,Barley,126.0,30.0,12,24,Medium,Increase irrigation
265,"41.8781, -87.6298",245,Soy,141.0,39.0,48,26,Low,Irrigate lightly
528,"36.7783, -119.4179",483,Soy,198.0,55.0,20,14,High,Irrigate lightly
153,"36.7783, -119.4179",362,Soy,128.0,37.0,26,29,Medium,Irrigate lightly
280,"34.0522, -118.2437",181,Barley,197.0,30.0,N/A,20,High,Monitor soil moisture
187,"36.7783, -119.4179",280,Corn,269.0,33.0,49,37,Medium,Monitor soil moisture
393,"36.7783, -119.4179",126,Corn,291.0,50.0,22,20,High,Irrigate as needed
324,"36.7783, -119.4179",Unknown,Soy,154.0,49.0,13,14,Low,Increase water monitoring
